Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.167543250,0,1,1,1,1,1,1,1
0.167576250,1,1,1,1,1,1,1,1
0.167584750,0,1,1,1,1,1,1,1
0.167617750,1,1,1,1,1,1,1,1
0.167626250,0,1,1,1,1,1,1,1
0.167659250,1,1,1,1,1,1,1,1
0.167667750,0,1,1,1,1,1,1,1
0.167700750,1,1,1,1,1,1,1,1
0.167709250,0,1,1,1,1,1,1,1
0.167742250,1,1,1,1,1,1,1,1
0.167750750,0,1,1,1,1,1,1,1
0.167783750,1,1,1,1,1,1,1,1
0.167792250,0,1,1,1,1,1,1,1
0.167825250,1,1,1,1,1,1,1,1
0.167833750,0,1,1,1,1,1,1,1
0.167866750,1,1,1,1,1,1,1,1
0.167875250,0,1,1,1,1,1,1,1
0.167908250,1,1,1,1,1,1,1,1
0.167916750,0,1,1,1,1,1,1,1
0.167949750,1,1,1,1,1,1,1,1
0.167958250,0,1,1,1,1,1,1,1
0.167967250,1,1,1,1,1,1,1,1
0.167975750,0,1,1,1,1,1,1,1
0.167984750,1,1,1,1,1,1,1,1
0.167993250,0,1,1,1,1,1,1,1
0.168026250,1,1,1,1,1,1,1,1
0.168034750,0,1,1,1,1,1,1,1
0.168059750,1,1,1,1,1,1,1,1
0.168076250,0,1,1,1,1,1,1,1
0.168093250,1,1,1,1,1,1,1,1
0.168101750,0,1,1,1,1,1,1,1
0.168118750,1,1,1,1,1,1,1,1
0.168127250,0,1,1,1,1,1,1,1
0.168152250,1,1,1,1,1,1,1,1
0.168160750,0,1,1,1,1,1,1,1
0.168169750,1,1,1,1,1,1,1,1
0.168194250,0,1,1,1,1,1,1,1
0.168211250,1,1,1,1,1,1,1,1
0.168505000,0,1,1,1,1,1,1,1
0.168536750,1,1,1,1,1,1,1,1
0.168568500,0,1,1,1,1,1,1,1
0.168577000,1,1,1,1,1,1,1,1
0.168585250,0,1,1,1,1,1,1,1
0.168593750,1,1,1,1,1,1,1,1
0.168610000,0,1,1,1,1,1,1,1
0.168618500,1,1,1,1,1,1,1,1
0.168627000,0,1,1,1,1,1,1,1
0.168635500,1,1,1,1,1,1,1,1
0.168651750,0,1,1,1,1,1,1,1
0.168660250,1,1,1,1,1,1,1,1
0.168668500,0,1,1,1,1,1,1,1
0.168677000,1,1,1,1,1,1,1,1
0.168685250,0,1,1,1,1,1,1,1
0.168701750,1,1,1,1,1,1,1,1
0.168726000,0,1,1,1,1,1,1,1
0.168742500,1,1,1,1,1,1,1,1
0.168750750,0,1,1,1,1,1,1,1
0.168783000,1,1,1,1,1,1,1,1
0.168791250,0,1,1,1,1,1,1,1
0.168823750,1,1,1,1,1,1,1,1
0.168832000,0,1,1,1,1,1,1,1
0.168864250,1,1,1,1,1,1,1,1
0.168872500,0,1,1,1,1,1,1,1
0.168905000,1,1,1,1,1,1,1,1
0.168913250,0,1,1,1,1,1,1,1
0.168945500,1,1,1,1,1,1,1,1
0.168969750,0,1,1,1,1,1,1,1
0.168986000,1,1,1,1,1,1,1,1
0.168994500,0,1,1,1,1,1,1,1
0.169026750,1,1,1,1,1,1,1,1
0.169035000,0,1,1,1,1,1,1,1
0.169043500,1,1,1,1,1,1,1,1
0.169052000,0,1,1,1,1,1,1,1
0.169068250,1,1,1,1,1,1,1,1
0.169108250,0,1,1,1,1,1,1,1
0.169116750,1,1,1,1,1,1,1,1
0.169149000,0,1,1,1,1,1,1,1
0.169157500,1,1,1,1,1,1,1,1
0.169189500,0,1,1,1,1,1,1,1
0.169198000,1,1,1,1,1,1,1,1
0.169230250,0,1,1,1,1,1,1,1
0.169270500,1,1,1,1,1,1,1,1
0.169278750,0,1,1,1,1,1,1,1
0.169311000,1,1,1,1,1,1,1,1
0.169351000,0,1,1,1,1,1,1,1
0.169359500,1,1,1,1,1,1,1,1
